sentence,label
"Может, просто социальная несправедливость не дает покоя предыдущему докладчику? Время ведь сейчас такое: ты либо работаешь клоуном у пидорасов, либо пидорасом у клоунов за тот же самый мелкий прайс. Либо вообще, прости господи, буддист. Вот вы, извините, к кому себя относите?
",1
"Какой ты жалкий кмет,вор и подлец. Вся суть социалистической заразы. Фи
",1
"Фи, истерить на дваче нехорошо.
",1
"А где тут указание того, что это сварщик, а не председатель горисполкома?
",1
"А ты кто по жизни то вообще?
",1
"Я тебе дохуя пруфов привёл, а ты ебанный дебил не верил. Сося должен был вам сказать, но сося долбаёб и тебя за человека не держит, почему он тебе должен рассказывать о своих фейл, если его заявляения раньше звучали гордо . Ебать ты дибил.
",1
"ИНТЕРМАРИУМ МАРИУМ Хохол,прекращай писать на русском,у тебя плохо получается.
",1
"Соколовский У этого татарчонка комплексы? Стыдится своей фамилии Сайбабталов?
",1
Ты ничего не понимаешь.,1
"итак дохуя тредов с проблемами России, тут мы постим ДРУГОЕ
",1
"Для тебе любой человек который ухаживает за собой пидор
",1
"Ну че ты сразу про блядство то? Может, жена давно тебя ненавидит и ищет по лесам бледную поганку, а ты этого не понимаешь, и потому не можешь ни исправить, ни предотвратить. Взаимоотношения полов в браке не заканчиваются.
",1
"Да жидяра это, что тут думать
",1
"Он просто старый ленивый пидор.
",1
"Какие же мерзотные зажравшиеся рожи. Прямо натуральные сеньоры помидоры из Чиполлино
",1
"А ты кто такой?Иди отседова
",1
"В крупных компания активно используются.
",1
"Неактивированная карта это просто кусок пластика.
",1
"ворона, кар-кар-кар-кар-кар-кар-кар... А петух рококо
",1
"Да наверняка это чья-то карманная фирма(кого-то из чинуш)
",1
"Вышел покурить на балкон, а тут Ын курит. Постояли, покурили.
",1
"Оборудование на линии ремонтировали.
",1
Залипательная хрень ) ЗЫ в космосе тряска нинужна,1
"подхрюкнул хряк блядский xD
",1
"Сталинисты - наглухо отбитые животные.
",1
"стрелять в орущее быдло
",1
"Иди подрочи на своих негров, хамло нерусское.
",1
"А смысл отвечать скоту? Ты же просто всхрюкнешь Врете .
",1
"нету. В тех же США большинство негров-мужчин были судимы. Пидораха, ты определись, у тебя речь о мигрантах или таких же коренных полноправных гражданах-неграх? ты еслибыкаешь да баттхертишь оп принёс пруфы скриншот газеты уровня СПИД-инфо хач-вампир выебал ЗЭКА Я же не svin ja чтобы копаться в желтушном мусоре и тащить всё сюда в тред. Вон есть всякие паблики новости русского мира , наслаждайся пруфами там.
",1
Что. ты. несёшь. дегенерат?,1
"Там написано он попросил и убедился тупица ты значит они повернулись уже
",1
"Если такое мнение тебя утешает - можешь продолжать верить в него, тут нет ничего постыдного. Вмешиваясь в комментирование я лишь предположил, что здесь кто-нибудь хотел узнать фактическое положение вещей, а не просто выразить плюсиками солидарность сходным поверхностным воззрениям.
",1
"тебя бы в первых рядах на эту войну погнали, дурик. потом кричал бы в объектив камеры: не хочу умирать! отпустите - вы же добрые!
",1
"Знакомые места! Я родом из Гремячинска. Басеги сразу узнала. Этим летом удалось увидеть Каменный город.
",1
"Давайте, пикабушники подтянутся
",1
"Регистрируясь на Пикабу, ты выразил согласие с Правилами. 4.1 Базовый принцип. Администрация просит Вас проявлять уважение к пользователям Пикабу. Судя по комментарию, ты в глаза долбишься
",1
"Мать его затравленная вебкам шлюха, а отец пидорнутая членодевка!
",1
"Всё норм, хули ты это ваще.
",1
"А что мешает детям начать коллективно чмырить говнюка? Ээ... воспитание?
",1
"А смысл. Молоко за копейки покупают у фермеров.
",1
"Смотрел отрывок из его стендапа, такой мерзотный тип пиздец
",1
"Ох, свежайший приём сам дурак , ты из детского сада пишешь, что ли? Воистину, нацея дигродирует.
",1
"Блядь, а ведь похоже!!!!!!!",1
"Лол, прям аж тянет муслимофилией
",1
"По существу ?ты что гопник ,можэ еще на корты присядем
",1
"Ну мимикрирующие хохлы ов дописывают, а пидорантели- ко .
",1
"Ник Вуйчич в восторге!!!
",1
"Почему ты подорвалось, либерахоговно?
",1
"Сабж бесталантный хуесос!
",1
"Просто на хуй посылаю таких наглецов.
",1
"Забыл упомянуть про неадекватною аудиторию
",1
"Нет, просто там французский сыр.
",1
"да хоть миллионную биткоина)
",1
"Модератор не мой, я просто разместил объяву.
",1
"Летс ролл бойз! ШМАЙСЕР ГЛУШКО ГРЕТТРУП ПЕРШИНГ СИКОРСКИЙ АХМАТОВА БУЛГАКОВ БУНИН СОЛЖЕНИЦЫН БЕЛЕНКО МАСК ПАТТОН
",1
"БРОСАЙ БЛЯТЬ Бросил. Пистолет выстрелил. Убил тётку. Полицейский обосрался и убил тебя.
",1
"украинские выборы пост в po пидорашки лахтодырки хуя у тебя в голове насрато
",1
"Вот вам и безвиз. Какие же хохлы дегенераты, пиздец просто
",1
"проход в рашку А пидорахи всё о том же. Классика.
",1
", тут у человека весь народ психически больные и отставшие в развитии. Сможете ему помочь?
",1
"Монголокацап детектед.
",1
"скрим у девицы слабоват Дружище, а у какой женщины ты слышал хорошо звучащий экстрим-вокал?
",1
"иди и вари, можешь посолить ещё. И перца добавить...
",1
"рапред коробка на хомутиках, держи быдло монтажника
",1
"Ты очень общительный человек?
",1
"Ну и как теперь узнать, виновен он был или нет?
",1
"Не хрипи пидорашечка, такие убогие как ты живут в загоне и делают то, что им скажут.
",1
"Да про этих узкоглазых ебел куча
",1
"Откуда вот в таком возрасте? Расскажи какую воду пьешь?
",1
"Ты просто шизик. Скройся.
",1
"Сказал бы ей: Да успокойся ты, свиноматка, хрю-хрю Это б ей было похлеще твоей оплеухи
",1
"Пиздили по голове твою мамашу когда она высирала тебя, безграмотный ребёнок.
",1
"Потому что он гомогеев убивал.
",1
"Верните Крыму Украину!
",1
"Да это просто холодно тут...
",1
"Когда было иначе, лол. Легаси? Или ты по темпесту соскучился?
",1
Током пиздануло пьяного ежа)),1
"В школе мозаикой был выложен во всю стену на первом этаже. Попробуй забудь.
",1
"У тебя в домашке мало букв, а мне надо много.
",1
"Вот не ври)))) ты бы мне вовсе не ответил тогда бы, а тут целая тирада... чсв? ты из какого века это нарыл? такое уже не используется, ещё бы упячку вспомнил",1
"U Zagori na izvoru rijeke ikole Stala bra a da obrane na e domove, Stoji Hrvat do Hrvata, mi smo bra a svi Ne ete u avoglave dok smo ivi mi
",1
"Недорого, постоянным клиентам скидки)
",1
"А передом заехать в ограниченном пространстве? Потому что мне передом как-то сложнее.
",1
"Русских придумали евреи что бы отобрать у тебя горилку, знаем.
",1
"По-моему ты просто зануда
",1
"Поддвачну. Всем похуй на пуки маспожоров.
",1
"Анастасия Афанасьевна старая тупая сука
",1
"Что ты, блять, несёшь... Стоп. Ты - бабка у подъезда? О о
",1
"Ты че, 2080 не могла подарить? Что за нищебродство... Я бы психанул.
",1
"Ублюдки потрошителей завезли. Полакомиться.
",1
"Какой-то лысый интерес у тебя(
",1
"Уберите свиногитлера отсюда. Егор - обыкновенный левак-якобинец.
",1
"На фото какой-то парад уродов, лол.
",1
"У тебя воображение - так себе
",1
"Чуркабес плес, иди трусы на рынке продавай, чмырь
",1
"А может ты? Не можешь объяснить термин не используй его, за умного синхрофазатрона сойдешь чепух.",1
"ты на стол-то ложись, русалка!
",1
"Как бы подпирает подбородок. Ногой
",1
"C хуев они отказались от эксклюзивов? Форза, Хало, Гири-это эксклюзивы винды, хуй ты их на плойке запустишь
",1
"А где номер сервисной поддержки?
",1
"сам давно налысо брился?
",1
"гениальные мысли и ролики мысли консоле-пидора
",1
"Какая-то ерунда... Обратиться в поддержку?
",1
"Репутацию создаешь годами, а теряешь в один миг, ребята.
",1
"Учите матчасть, селекционер.
",1
"Тут же ещё вопрос качества тех прививок. Во всяком случае, мне почему-то так кажется.
",1
В Ленинградской из Хабаровска,1
"хохлов Т.е. его за спонсирование ЛДНР против хохлов хотели посадить? Вот только вместо реального оружия он выложил отфотошопленное, а про бтр сказал что он ненастоящий.
",1
"твой папаша был пассивным пидерастом его в попу трахал и он это любил. однажды его страпонила какая то дегенеративная жидовская шлюха и он случайно кончил ей на пизду. этой жидовской шлюхой была твоя мать.
",1
"Ты хотел сказать пидоры?
",1
"А ты видимо нет, раз такой умный!)
",1
"У тебя еще есть время
",1
"Знал бы ты как меня тошнит при виде этого...
",1
"Фолач - дропнул Сталкера - дропнул пиздец бля
",1
Ватники продолжают экранизировать совковые сказки.,1
"Ебать ты просто мировой заговор вскрыл. ВС !!! Ебать ты умный. Не то что те ребята на стриме, которые не поняли этого.
",1
"Фуууу, геи! Мам! Смотри! В попу писюны суют!
",1
"Плохо что тебя не интересуют особи женского пола)
",1
"Я укорочу свою простыню текста. ...Когда срешь на ПОраше как пидорашка якобы случайно серешь себе в шаровары. Скрипт пидорашек тригиртся и скрывает тебя как пидорашку. По этому ты меняешь обсранные шаровары и все равно срешь не снимая.
",1
"Ну кто-то же должен еду подавать
",1
"Умник, тебя бы в эту часть, я бы посмотрел какой ты бы там был. В крысы бы улетел, с черными ручкался бы а своих гнобил
",1
"Тяжёлое наследие диванных войн.
",1
"В Китае что-то подобное планируют вводить.
",1
"Ты боишься даже криво посмотреть на этих ерох, ведь они набьют тебе ебальник сразу. Жиза? Жиза
",1
"Отличная иллюстрация.
",1
"Старый жырик это клоун у пидорасов.
",1
Кроме последнего - да. В таянии полярных льдов виноваты пингвины.,1
"МИЛОНОВ БЛЯТЬ ЗАЛОГИНЬСЯ
",1
"Едет блондинка на такой хорошем автомобиле и останавливает ее гаишник. Она без разговора протягивает ему 100 баксов. Он их естественно берет и спрашивает: - Слышь красавица откуда у тебя такие деньги и такая машина. Ты кем работаешь? - А я минетчица. - А-а хуй сосешь? - Ну почему? У тебя есть такая машина? - Нет. - А такие деньги? - Нет. - Так это ты хуй сосешь а я- минетчица!!!
",1
Могу тебе отдать свои старые семейники,1
"наконец-то новое видео
",1
"Ты там продолжай, мы смешить не будем пока не закончишь
",1
"Где ссылка на информационную новость?)
",1
"Ты долбоёб? Не 99 . Максимум 70 .
",1
"Что же, отавим Малороссию Украину в покое.
",1
"Я слышал, русские в банях в жопу друг друга ебут
",1
"Ты САМ прочитал мой коммент, САМ решил написать на него ответ, и САМ решил что мои претензии не логичны. На сайте, на котором каждый пишет что хочет, как утверждают комментаторы. Так вот, тебе не кажется что твои претензии не логичны?",1
Глянь DAWG(a) если ты анимеблядь.,1
"Будешь орать когда тебя десять хачей в жопу ебать начнут, сжв-хуесос. Хотя наверняка тебе понравится.
",1
"Ебать злые москали кожу на его лице испортили
",1
Да просто там машин мало.,1
когда я поехала учиться в Санкт-Петербург,1
"Поясните про шкаф и попа
",1
"Ебать он тупка, турки и арабы оФФициально белые, причем тут негры, антрополог хуев. А вообще качалочка, хуи негров, мужское государство Ясно-понятно
",1
"А может быть ты долбаеб, аэээм?
",1
"Тут все таки совпадение, потому что плашкаа прям ему в ракетку попадает
",1
Ты отставил религию это твое дело. Но зачем писать посты и осквернять религию. Ты говоришь о любви к родным но ты их предал и предал ты их тем что оскверняешь то что им дорого. Задай свой любой вопрос об Исламе с научной точки зрения и я тебе отвечу с религиозной точки зрения.,1
"Кто, кроме Сакрамара помнит о свинье гнидине?
",1
"Где же я говорил неправду? Назвал русофоба русофобом? Или сказал, что состояние русофобии ненормально?
",1
"называется - веди себя как придурок перед камерой на потеху толпе
",1
"топит против прогресса Он не топит за или против. Он утверждает, что прогресса не существует.
",1
"дебил-куколд Значение знаешь?
",1
"А ты вспомни чем Женя Лукашин салатницу мыл
",1
"И хули?Эмотивист ты ссаный?Маргинал тоже говорил, что ему взрослого больше жалко чем зиготу,но это сраные эмоции.Этика рационализирует мораль и уберает противоречия,хуй ты мутный",1
"Ты бы с полом определилось) а потом уже национальной ориентациией займемся)
",1
"Хм... По-моему, ты не слышал, как кричит такой поросенок. Его хуй выпиздишь из загона, сначала... хоть за уши, хоть сапогами. А ещё эту тушу надо протащить метров 40 и завести в станок . И, только потом, ты залезешь сверху, угнездишься так, чтобы тебя по стенкам не размазало, наклонишься, и ведешь пику, и взрежешь шейку.. И только сейчас ты услышишь и поймешь разницу между просто визгом, хоть и от боли, и СМЕРТНЫМ.. ...даже, если тебе 10 и ты вообще снаружи свинарника. ...убивают его, блядь...
",1
"Для тебя котик - имущество?
",1
"на Хабре твой пост, MR VF ?
",1
"соси как хохлы сосут хохол
",1
"Хуйня у тебя в штанах, пидар.
",1
"Манямирок пидорашки доставляет
",1
"Жидо-холоп закукарекал
",1
"как же любят чуркобесы свои автопортреты всюду лепить...
",1
"Ну погуглили бы оригинал статьи
",1
"sos mi vida Сос, бггггггг! Сос мивина ыхыхыхыхыхы
",1
"Лазурник, ты? Я узнал тебя по твоим шизоидным постам. Помнишь, как ты пытался что то выдавить из себя в Джапари библиотеке, а мы с ассистентом нассали в твоё карри? Ты ещё съел, облизнулся и попросил добавки. А потом сказал, что всю жизнь будешь ненавидеть друзей, но когда ты пошёл на них в рейд, чтобы их съесть, то они пустили тебя по кругу, после чего тебе наложили на анус восемь швов. Как поживаешь, Лазурник?
",1
"Сам не выкупил, признаюся. Поймал.",1
"Эй парень, а не ты ли дерьмом собачьим обмазался?
",1
"Бог ты мой... 2000-й... как сладок был мой первый интернет...
",1
"Ух ты! Дяденька, а вы правда настоящий сварщик!? Здоровсько!
",1
Ты слишком долго ходил зимой без шапки.,1
"я никому минусы не ставлю здесь, а ты походу баклан подгорел и аж на все по единичке повесил?
",1
"Гандоны - это ты и твой хозяин - пидорас-пригожин . А те, что на оппиках - уважаемые люди, несущие свет и освобождение в тоталитарную парашу.",1
"хуйца пососи блядина лахтинская, иди на завод сосать хуй за 15К, под твои потребности как раз
",1
"https: pp.userapi.com c848520 v848520411 11627b cOhWqFbGjWE.jpg
",1
"Что-то ты чутка зажралась, нет? Или это ты шутишь так?
",1
"Он видел некоторое дерьмо
",1
"Ты долбоеб? Я рассматриваю ситуацию с позиции националистов, тот же Егорка на Пыню бугуртит пуще твоих навальнят, да и в целом ненавистные чекисты с самого с нулевых годов подавляют националистическое движение.
",1
"Это не твоё мнение. Ты же не играл в батлу.
",1
"А ты чурка. Иди монобровь сбрей.
",1
"Надеюсь тебе выломают все зубы и вобьют на их место гвозди.
",1
"Бескрымодебилу неприятно.
",1
"Что за Лахта? Этот шизофреник опять бредит. Думаешь, если ты, скот, РАБ отаешь на своём ёбаном заводе, то и все такие же рабы? Я лишь получаю проценты с твоего труда , лол.
",1
"Надеюсь, ты понял, о чем просят тебя написать.
",1
"А-А-А-А-А-А--А-А!!!!!!!
",1
"Гандоны - это ты и твой хозяин - пидорас-пригожин . А те, что на оппиках - уважаемые люди, несущие свет и освобождение в тоталитарную парашу.
",1
"это ты который отстаивает сапог компрадорского барина??
",1
"Так а почему ты тогда блеешь тут, скотогноеублюдомаспосвинопидораха?
",1
"Привет хуемрази-угнетатели!
",1
"Я ерничаю, это ты так меня воспринимаешь, и это, увы, твоя
",1
Скачешь на хуях как что-то плохое а тебе даже кунчики не дают вот,1
"Аккреция, как же аккреция?
",1
"Зачем же ты добралась до двача, скотина безрогая?
",1
"В налоговую иди и в рожу им кинь.
",1
"Ром же из сахара, вредно(
",1
"Когда понасёнок начинает волноваться и теряет аргументы, он постит порашные картиночки.
",1
"А кто тогда такой конкурент ?
",1
"А квас какой? Сам делаешь, или окрошечный на разлив из пивнухи?",1
"Билеты из банка приколов.. Да, ничего святого у людей нет.
",1
"Тебе не кажется это совпадением, что твой тред висит второй месяц и модерам абу на него похуй? Значит ты сам выдумал проблему и пытаешься на самоподдуве всем навязать её. Нет свинюш, так не работает, иди бандере ботинки почисти лучше, воен диванный.
",1
"я не ебаная русня Ну, либо ты пиздишь в том, что по открытому пиздабольству детектятся именно русские, либо ты пиздишь про то, что ты не руссачок. В любом случае, ты обоссаный пиздобол, не могущий в дискуссию и аргументы.
",1
"Как подушка безопасности узнает об аварии?
",1
"Попизди у меня тут шаболда ибанная
",1
"Мы тут обсуждаем жирного коммуняку - техноблоггера, а не тупых шлюх. За подобной дискуссией проследуй в другой тред
",1
"Чувак, ты подписал договор с суммой 68 тыс.? Ты уже оплатил? Если оба ответа да - смирись, ты лох, без обид.
",1
"Ебать тут весь тред о Новороссия. Боты, вы ебанутые? Какие Загитовы, деревенские долбоебы, котеночки, блядь. Как Новороссия до этого скатилась?
",1
"Я сказал, что он автоматически борется за идеи фашистской идеологии.
",1
"А следующая лекция Религия и положительные тенденции в выздоровлении
",1
"Толика - убердолбоебика
",1
"ОП, ты хуйню придумал. От этого пострадают только всякие усть-перепиздюйск-телекомы с 3.5 сотрудниками. А наварятся жирные коты из большой тройки, через которых ты и послушавшие тебя аноны продолжат капчевать.
",1
"Пиздешь подпиндоссной либерасни. Благодаря полезным санкциям, Россия вырвалась в лидеры в сфере высокотехнологичного производства.
",1
"Актеры-то какие замечательные.
",1
"Алё, ты этот коммент оставил как раз под постом с хеппи-эндом!
",1
"Белые современные светодиоды в тепло перерабатывают где то 70 потребленной энергии, остальное в свет.
",1
"воу, у нас тут интеллигенция на дваче
",1
"И тебя упекут в дурку заботливые прохожие, когда ты будешь с ней общаться. То есть, не с ней, а с пустым местом. И дрочить не на неё, а на пустое место.
",1
"Так вот ты какая, козья морда .
",1
"Уважаемый, ты реально глупый и не вкуриваешь, о чьих именно трусах идет речь? Или просто дурака валяешь?
",1
"Э, ты че там замолчал? Понос от айрана или на билет погасторбайтерить в Россию деньги у бабки воруешь? Эй, уразбаев, отвечай.
",1
"Я свяжу тебе горло, и ты умрёшь. мимо айва
",1
"Михаил Ходорковский - патриот России!
",1
"Охуеть ты олд Сразу вспомнил ту группу в вк, со смешными мемами
",1
"Тамада хороший и конкурсы веселые.
",1
Сходила посмотрела на чашечку - оказалась баварского производства),1
"Шовинистические пидораны
",1
"Чернь в комментах потешается над подгоревшим пятаком.
",1
"Мне бы понравилось жить со шлюхой.
",1
"Очередные предметы камлания
",1
"Название темы - как описание товара на али экспресс)
",1
"Тред имени alexdarkstalker98
",1
"не читал кто служил, тот пидорас
",1
"Каждое утро отскребаю морду и юзаю простое мыло, а не гели пены. Просто кто то тут неженка.
",1
"Читал и блевал, блевал и читал, ненавижу ублюдков
",1
"Так высрал же тебе на лицо, а ты утерся и отреагировал, ну че ты как маленький.
",1
"Покупают квартиру и складывают.
",1
"Ну пусть тебя так резанут
",1
"Ну хз, давай проверим, вот ты в вузе отучился?
",1
"Алло, пикабу, я не узнаю тебя. Где гифки со слонячьми болтами???
",1
"Минутка проплаченных постов на пикабу
",1
"Добавим к условиям задачи табличку - тут падает 50и килограммовые градины.
",1
"Драма в том, что ты ебаная вниманиеблядь и привлекаешь к себе внимание мочерни ища под кроватью вниманиеблядей. Моча! Забань уебка!
",1
"Верните мне нормальную советскую медицину, я жить хочу.
",1
"жыды Жидошизик, ты опять выходишь на связь, мудило?
",1
"Бактерия, тебе этого не понять Конечно, я же не ист е рик. Вот здесь поподробнее Сахаров А.Н вещает: Ты какой-то бред написал. Всё логично. Фраза была обращена к тебе. Твои проблемы - учись изъясняться определённее. Я заказал книгу о Второй Мировой войне на planeta.ru. Ой, извини, тогда ты не шваль - ты просто чернь. Это при условии, что ты действительно заказал маняграфию
",1
"Мужик, ты вообще в адеквате? Все хорошо? Ведёшь себя как малолетка
",1
"Да мне похуй, с кем ты на ты говоришь. К тебе я обратился на вы . Как результат твоей фамильярности - соответствующее обращение, девочка моя. Не рыдай, сама нарвалась.
",1
"Ты из какого века блядь?
",1
"почему тебя минусят какие то олигофрены?
",1
"Ждал, чтоб он его великом уебал.
",1
"Офигеть, проект Ушакова вспомнили )
",1
"Сообщение просто сгусток интеллекта.
",1
"Хера себе он воткнулся.
",1
"Проигрываю от того как он хуесосит постсовок. Брызжущая слюной русофобия.
",1
"Уууууууууу, бляяяя. А он блядь заранее не знал, что у него будут съемки невротебаццаа каких то проектов, бухачи праздничные. Не любит он сука людей безответственных сам то епта послушай че ты пиздишь. Интересно ему про коммунизм послушать, твои верования потрошнут и катком переедут, сидит небось матчасть изучает.
",1
"Сказали что температура буксового узла 26 .
",1
"Опять создали тред про этого умственноотсталого, на хуй он вам нужен?
",1
"Какое-то хуйло, которое срёт на других. Говно говна просто, мерзкий тип.
",1
"Ну ты красава, чесслово... Чо так возбудился то, в штыковую ходил? Ну не служил, чичас таких полно, это не диагноз...
",1
"То чувство, когда тебе 15 но ты знаешь половину этих пунктов
",1
"А если в ответ на поздравление с днём рождения какой-то мудак-именник тебя в лицо ударит, ты перестанешь поздравлять с именинами вообще всех?
",1
"Нахуй иди чмо ебаное, рот твой ебал. Говна поешь, быдло
",1
"Не нужна только тупому быдлу, вроде тебя.
",1
"Какие адские бояны залезают в горячее
",1
"Господин Киселев, остановитесь
",1
А сдачи доете.А то у них потерьнет,1
"Верно замечено. А синичке, хоть пшеничка!
",1
"Охуел? Я сюда треды пришел скрывать. Вернул кнопку.
",1
"Хохлы то да разъезжаются ты прав.
",1
"Че ты там мямлишь, утырок? Сопли подотри
",1
"Ты, бля, не мороси, служил, али как?
",1
"блять скока быдла на харкаче за путина голосовал?
",1
"Перевожу: -Я здесь альфа-самец!!!
",1
"Матриархальные законы.
",1
"Бля пиздец хохлы казахи дегенарты
",1
"залетуха плиз, если ты так любишь покой, то ты бы вспомнил лето и осень, когда даун на модере тер АБСОЛЮТНО все, а так ты просто даун который очередной раз разжигаешь срач и тебе похуй на реакшены, главное просто повыебываться и посрать.
",1
"Волжские буглары пидарасы мимо астраханский татарин
",1
"тут все от муниципалитета зависит - где-то забьют, а где-то отреагируют
",1
"СВИНОРУСЫ 19 реджев В треде 19 хохлов
",1
"ценностей и моральных устоев Скреп, одним словом
",1
"Что, сученок, мало я тебя говном в попереднем треде накормил? Сюда прибежал?
",1
"Мне кажется тебе лечиться надо. Или в жопу меньше давать, чтобы клапан держал.",1
"Какой алгоритм, блядь? Отправил жалобу на бан и модератор подтвердил бан
",1
"бля, окрашивание у стриптизёрши конечно колхозное что пиздец...
",1
"Афродыра - толерантно!
",1
"А кого сатана убил ? Ради образрванности
",1
"Да всё понятно с тобой, ватогной вылизывающий очко Путину. И неважно какой ты национальности.
",1
"ПОЧЕМУ ТЫ ЕЩЕ НЕ ВЫПИЛИЛСЯ ПОЗОРНЫЙ МЕЛКОХУЙ? ЧТО ТЕБЯ ДЕРЖИТ?
",1
"Вали нахуй,мужик хоть нормальную себе найдет.
",1
"зачем в снег? Осень в холодильник - весной вынимаешь. Они же спячку впадают.
",1
"Хозяин, давай на улицу!!! Подпёрло ужо!!!
",1
"Пошел нахуй с тупичка
",1
"Ахуеть как похорошела!
",1
"Какие же ебала проплаченные. Ебанная лахта
",1
"тред горелых пекарей, найс
",1
"Отправить ты можешь только хуй в свою жопу, лахтодырка.
",1
"Про древние постройки в целом.
",1
"Памагите!!!!!! Бамп,бамп,бамп!!!
",1
"Наоборот, красава. Решил развлечь анонов. А тебе рака и спида, падла неблагодарная",1
"Тостота то какая! ХОХЛОТА!
",1
"Обратит вниманиа на шкалу - ALL AGES
",1
"девчонка на превьюхе на богиню Дашу похожа
",1
"Пикрил Твоё лицр, когда увидел опередивший тебя тред?
",1
"Вот бля уебищи, как пить дать напились пива, и ясен пень ссать убежали, быдло сраное
",1
"Лол, я тебя обосрал за твой уебанский душный снобизм. уберкринжанала можешь обкладывать хуями сколько угодно.
",1
"Основные сложности какие?
",1
"Ну видимо!!!!!! УУУУУУУУ!!!!!!!!!!! ААААААААААА!!!!!!!!!! УАУАУАУ!!!!!!!
",1
"вчера только был пост, где мужик электрогитару сделал такую же, может это он же?
",1
"Red Dead Redemption II прям какой-то, да
",1
"Частная благотворительность.
",1
"Можем на тебя ещё и модера за безмозглых позвать.
",1
"ряженые кизяки Извинись!
",1
"Если бы я ответил Ты пиздишь это было бы оскорблением, или в контексте ок?
",1
"Бабушкин персиковый чай? )
",1
"Слушай, вот серьезно, обратись к врачу. Да-да, они все жиды, и психиатрия - это вообще псевдонаучные штучки пейсатых, но ты все же обратись.
",1
"Желаю тебе всегда играть без сапортов)
",1
"Ничтожны тут только твои тупые поцты.
",1
"Беднорус и Беднорусский, Беднорусь.
",1
